0,0,0,0
0,1,0,1
0,2,0,2
0,3,0,3
0,4,0,4
0,5,0,5
0,6,0,6
0,7,0,7
0,8,0,8
0,9,0,9
0,10,0,10
0,11,0,11
0,12,0,12
0,13,0,13
0,14,0,14
0,15,0,15
0,16,0,16
0,17,0,17
0,18,0,18
0,19,0,19
1,0,1,0
1,1,1,1
1,2,1,2
1,3,1,3
1,4,1,4
1,5,1,5
1,6,1,6
1,7,1,7
1,8,1,8
1,9,1,9
1,10,1,10
1,11,1,11
1,13,1,12
1,14,1,13
1,16,1,14
1,18,1,15
1,19,1,16
1,20,1,17
2,0,1,18
2,1,1,19
2,2,1,20
2,3,1,21
2,4,2,0
2,5,2,1
2,6,2,2
2,7,2,3
2,8,2,4
2,9,2,5
2,10,2,6
2,11,2,7
2,12,2,8
2,13,2,9
2,15,2,10
2,16,2,11
2,17,2,12
3,0,2,13
3,1,2,14
3,2,2,15
3,3,2,16
3,4,2,17
3,5,2,18
3,6,2,19
3,7,2,20
3,8,2,21
3,9,3,0
3,10,3,1
3,11,3,2
3,13,3,3
3,14,3,4
3,15,3,5
3,16,3,6
3,17,3,7
4,0,3,8
4,1,3,9
4,2,3,10
4,3,3,11
4,4,3,12
4,5,3,13
4,6,3,14
4,7,3,15
4,8,3,16
4,9,3,17
4,10,3,18
4,11,3,19
4,12,3,20
4,15,4,0
4,17,4,1
4,18,4,2
4,20,4,3
5,0,4,4
5,1,4,5
5,2,4,6
5,3,4,7
5,4,4,8
5,5,4,9
5,6,4,10
5,7,4,11
5,8,4,12
5,9,4,13
5,10,4,14
5,11,4,15
5,12,4,16
5,13,4,17
5,14,4,18
5,15,4,19
6,0,4,20
6,1,4,21
6,2,5,0
6,3,5,1
6,4,5,2
6,5,5,3
6,6,5,4
6,7,5,5
6,8,5,6
6,9,5,7
6,10,5,8
6,11,5,9
6,12,5,10
6,13,5,11
6,17,5,12
6,18,5,13
7,0,5,14
7,1,5,15
7,2,5,16
7,3,5,17
7,4,5,18
7,5,5,19
7,6,5,20
7,7,5,21
7,8,6,0
7,9,6,1
7,10,6,2
7,11,6,3
7,12,6,4
7,13,6,5
7,14,6,6
7,15,6,7
7,16,6,8
7,17,6,9
7,18,6,10
8,0,6,11
8,1,6,12
8,2,6,13
8,3,6,14
8,4,6,15
8,5,6,16
8,6,6,17
8,7,6,18
8,8,6,19
8,9,6,20
8,10,7,0
8,11,7,1
8,12,7,2
8,13,7,3
8,15,7,4
8,16,7,5
8,21,7,6
9,0,7,7
9,1,7,8
9,2,7,9
9,3,7,10
9,4,7,11
9,5,7,12
9,6,7,13
9,7,7,14
9,8,7,15
9,9,7,16
9,10,7,17
9,11,7,18
9,14,7,19
9,15,7,20
9,16,7,21
9,17,8,0
10,0,8,1
10,1,8,2
10,2,8,3
10,3,8,4
10,4,8,5
10,5,8,6
10,6,8,7
10,7,8,8
10,8,8,9
10,9,8,10
10,10,8,11
10,11,8,12
10,12,8,13
10,13,8,14
10,15,8,15
10,16,8,16
10,18,8,17
11,0,8,18
11,1,8,19
11,2,8,20
11,3,9,0
11,4,9,1
11,5,9,2
11,6,9,3
11,7,9,4
11,8,9,5
11,9,9,6
11,10,9,7
11,11,9,8
11,12,9,9
11,13,9,10
11,14,9,11
11,15,9,12
11,17,9,13
11,19,9,14
11,20,9,15
0,0,9,16
0,0,9,17
0,0,9,18
0,0,9,19
0,0,9,20
0,0,9,21
0,0,10,0
0,0,10,1
0,0,10,2
0,0,10,3
0,0,10,4
0,0,10,5
0,0,10,6
0,0,10,7
0,0,10,8
0,0,10,9
0,0,10,10
0,0,10,11
0,0,10,12
0,0,10,13
0,0,10,14
0,0,10,15
0,0,10,16
0,0,10,17
0,0,10,18
0,0,10,19
0,0,10,20
0,0,11,0
0,0,11,1
0,0,11,2
0,0,11,3
0,0,11,4
0,0,11,5
0,0,11,6
0,0,11,7
0,0,11,8
0,0,11,9
0,0,11,10
0,0,11,11
0,0,11,12
0,0,11,13
0,0,11,14
0,0,11,15
0,0,11,16
0,0,11,17
0,0,11,18
0,0,11,19
0,0,11,20
0,0,11,21
